Attrition,EmployeeName,EmployeeID,Designation,PercentSalaryHike,TraininginHours,WorkLifeBalance,Tenure,MonthlySalary,,,,,,,,
NO,Kate,100004,Data Analyst,10,58.5,Good,1," 38,426 ",,,,,,,,
NO,Sabrina,100364,Data Scientist,6,97.5,Best,1," 41,065 ",,,,,,,,
NO,Lilianna,100005,Data Analyst,6,58.5,Good,9," 54,663 ",,,,,,,,
NO,Ada,100007,Data Engineer,6,58.5,Good,3," 49,950 ",,,,,,,,
NO,Nicole,100008,Data Engineer,8,39,Bad,8," 45,261 ",,,,,,,,
NO,Jenna,100010,Data Engineer,14,58.5,Bad,2," 45,532 ",,,,,,,,
NO,Fenton,100011,Data Engineer,16,39,Good,2," 42,385 ",,,,,,,,
NO,Abigail,100012,Data Scientist,16,39,Good,10," 63,207 ",,,,,,,,
YES,Adrianna,100405,Data Engineer,8,39,Good,1," 36,733 ",,,,,,,,
NO,Michelle,100015,Data Engineer,6,58.5,Good,10," 48,383 ",,,,,,,,
NO,Kevin,100614,Software Developer,6,58.5,Good,1," 22,128 ",,,,,,,,
NO,David,100618,Software Developer,12,97.5,Good,8," 50,738 ",,,,,,,,
NO,Melanie,100775,Data Scientist,8,58.5,Good,1," 60,341 ",,,,,,,,
YES,Rosie,101113,Business Analyst,8,78,Good,1," 55,711 ",,,,,,,,
NO,Nicholas,101156,Data Scientist,6,0.6,Good,1," 55,716 ",,,,,,,,
NO,April,101203,Data Analyst,6,97.5,Bad,3," 33,617 ",,,,,,,,
NO,Sam,100028,Chief Data Scientist,6,78,Good,13," 183,497 ",,,,,,,,
NO,Eric,100030,Data Analyst,8,117,Good,1," 42,151 ",,,,,,,,
YES,Freddie,101212,Business Analyst,6,39,Good,1," 50,985 ",,,,,,,,
NO,Andrew,100032,Data Architect,6,58.5,Bad,14," 104,200 ",,,,,,,,
NO,Samantha,100033,Data Analyst,16,97.5,Good,11," 48,249 ",,,,,,,,
NO,Emily,100035,Business Analyst,6,39,Good,10," 77,862 ",,,,,,,,
NO,Derek,101494,Software Developer,6,39,Bad,1," 37,376 ",,,,,,,,
YES,Edgar,101504,Data Engineer,6,39,Bad,1," 30,176 ",,,,,,,,
NO,Alan,101624,Software Developer,8,39,Best,2," 36,733 ",,,,,,,,
NO,Ryan,100046,Data Analyst,6,58.5,Bad,6," 45,851 ",,,,,,,,
NO,Abigail,101687,Data Engineer,14,97.5,Bad,1," 38,955 ",,,,,,,,
NO,Nicholas,100049,Software Developer,8,58.5,Good,3," 31,275 ",,,,,,,,
